cohort_year,local_school_system,school,zip,high_school_graduates,enrollment,percent_of_high_school_graduates_enrolled
2019-20,Allegany,Allegany High,21502,169,92,54
2019-20,Allegany,Fort Hill High,21502,136,63,46
2019-20,Allegany,Mountain Ridge High School,21532,157,94,60
2019-20,Anne Arundel,Annapolis High,21401,457,193,42
2019-20,Anne Arundel,Arundel High,21054,534,259,49
2019-20,Anne Arundel,Broadneck High,21409,516,289,56
2019-20,Anne Arundel,Chesapeake High,21122,325,97,30
2019-20,Anne Arundel,Chesapeake Science Point,21076,50,28,56
2019-20,Anne Arundel,Glen Burnie High,21060,417,118,28
2019-20,Anne Arundel,Meade High,20755,419,164,39
2019-20,Anne Arundel,North County High,21061,504,170,34
2019-20,Anne Arundel,Northeast High,21122,328,105,32
2019-20,Anne Arundel,Old Mill High,21108,524,239,46
2019-20,Anne Arundel,Severna Park High,21146,434,275,63
2019-20,Anne Arundel,South River High,21037,520,308,59
2019-20,Anne Arundel,Southern High,20776,238,95,40
2019-20,Baltimore City,Academy for College and Career Exploration,21211,70,12,17
2019-20,Baltimore City,Baltimore City College,21218,295,218,74
2019-20,Baltimore City,Baltimore Design School,21202,73,48,66
2019-20,Baltimore City,Baltimore Leadership School for Young Women,21201,50,36,72
2019-20,Baltimore City,Baltimore Polytechnic Institute,21209,369,266,72
2019-20,Baltimore City,Baltimore School for the Arts,21201,96,60,63
2019-20,Baltimore City,Bard High School Early College,21216,105,56,53
2019-20,Baltimore City,Carver Vocational-Technical High,21216,143,37,26
2019-20,Baltimore City,City Neighbors High,21214,89,21,24
2019-20,Baltimore City,Coppin Academy,21216,74,19,26
2019-20,Baltimore City,Digital Harbor High School,21230,195,31,16
2019-20,Baltimore City,Edmondson-Westside High,21229,177,31,18
2019-20,Baltimore City,Forest Park High,21207,150,32,21
2019-20,Baltimore City,Frederick Douglass High,21217,137,16,12
2019-20,Baltimore City,Green Street Academy,21229,106,38,36
2019-20,Baltimore City,Mergenthaler Vocational-Technical High,21218,338,96,28
2019-20,Baltimore City,National Academy Foundation,21205,103,19,18
2019-20,Baltimore City,Patterson High,21224,205,25,12
2019-20,Baltimore City,Paul Laurence Dunbar High,21231,141,54,38
2019-20,Baltimore City,Reginald F. Lewis High,21214,92,18,20
2019-20,Baltimore City,The Reach! Partnership School,21218,117,21,18
2019-20,Baltimore City,SEED School of Maryland,21223,28,18,64
2019-20,Baltimore City,Vivien T. Thomas Medical Arts Academy,21223,63,18,29
2019-20,Baltimore City,Western High,21209,209,131,63
2019-20,Baltimore County,Catonsville High,21228,413,201,49
2019-20,Baltimore County,Chesapeake High,21221,223,57,26
2019-20,Baltimore County,Dulaney High,21093,458,283,62
2019-20,Baltimore County,Dundalk High,21222,374,80,21
2019-20,Baltimore County,Eastern Technical High School,21221,264,213,81
2019-20,Baltimore County,Franklin High,21136,395,207,52
2019-20,Baltimore County,George W. Carver Center for Arts & Technology,21204,217,147,68
2019-20,Baltimore County,Hereford High,21120,335,224,67
2019-20,Baltimore County,Kenwood High IB and Sports Science,21221,373,81,22
2019-20,Baltimore County,Lansdowne High & Academy of Finance,21227,314,79,25
2019-20,Baltimore County,Loch Raven High,21286,217,104,48
2019-20,Baltimore County,Milford Mill Academy,21207,263,80,30
2019-20,Baltimore County,New Town High,21117,269,113,42
2019-20,Baltimore County,Overlea High,21206,190,39,21
2019-20,Baltimore County,Owings Mills High,21117,261,84,32
2019-20,Baltimore County,Parkville High & Center for Math/Science,21234,416,149,36
2019-20,Baltimore County,Patapsco High & Center for Arts,21222,319,105,33
2019-20,Baltimore County,Perry Hall High,21236,478,232,49
2019-20,Baltimore County,Pikesville High,21208,215,99,46
2019-20,Baltimore County,Randallstown High,21133,238,84,35
2019-20,Baltimore County,Sparrows Point High,21219,238,97,41
2019-20,Baltimore County,Towson High Law & Public Policy,21286,361,257,71
