OBJECTID,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,VRIZones,ZIPCode,NeedsSync,IsDeleted
5293,6101020A5FF0B552,2021/01/02 18:01:59+00,High,WD,OVERDOSE,P210021906,2200 W FAYETTE ST,2200 W FAYETTE ST BALTIMORE MD,Penrose/Fayette Street Outreach,Western,714,9,D8,Southwest Baltimore,Census Tract 2002,NA,21223,TRUE,FALSE
5327,5E01020A5FF0B86A,2021/01/02 18:16:00+00,High,SE,OVERDOSE,P210021942,1700 E LOMBARD ST,1700 E LOMBARD ST BALTIMORE MD,Washington Hill,Southeastern,212,13,D6,Fells Point,Census Tract 202,NA,21231,TRUE,FALSE
5438,5501020A5FF0C1D8,2021/01/02 18:56:00+00,High,WD,OVERDOSE,P210022064,2500 PENNSYLVANIA AV,2500 PENNSYLVANIA AV BALTIMORE MD,Penn North,Western,733,7,D2,Penn North/Reservoir Hill,Census Tract 1303,Western,21217,TRUE,FALSE
5523,5F01020A5FF0CB96,2021/01/02 19:37:00+00,High,WD,OVERDOSE,P210022166,2400 WOODBROOK AV,2400 WOODBROOK AV BALTIMORE MD,Penn North,Western,733,7,D2,Penn North/Reservoir Hill,Census Tract 1303,Western,21217,TRUE,FALSE
5525,5C01020A5FF0CBA1,2021/01/02 19:38:00+00,High,WD,OVERDOSE,P210022160,W NORTH AV/PENNSYLVANIA AV,W NORTH AV and PENNSYLVANIA AV BALTIMORE MD,Penn North,Western,733,7,D9,Penn North/Reservoir Hill,Census Tract 1501,Western,21217,TRUE,FALSE
5529,5301020A5FF0CCB6,2021/01/02 19:41:59+00,High,WD,OVERDOSE,P210022168,WOODBROOK AV/WHITELOCK ST,WOODBROOK AV and WHITELOCK ST BALTIMORE MD,Penn North,Western,733,7,D2,Penn North/Reservoir Hill,Census Tract 1303,Western,21217,FALSE,FALSE
5778,6101020A5FF0E297,2021/01/02 21:16:00+00,High,SW,OVERDOSE,P210022442,100 S HILTON ST,100 S HILTON ST BALTIMORE MD,Carroll-South Hilton,Southwestern,842,9,D10,Allendale/Irvington/S. Hilton,Census Tract 2006,NA,21229,TRUE,FALSE
6237,5E01020A5FF10078,2021/01/02 23:23:00+00,High,NE,OVERDOSE,P210022934,2600 BLK CECIL AV,2600 BLK CECIL AV BALTIMORE MD,Coldstream Homestead Montebello,Northeastern,411,14,D5,Midway/Coldstream,Census Tract 907,NA,21218,TRUE,FALSE
6239,5601020A5FF10069,2021/01/02 23:23:00+00,High,NE,OVERDOSE,P210022926,2600 CECIL AV,2600 CECIL AV BALTIMORE MD,Coldstream Homestead Montebello,Northeastern,411,14,D5,Midway/Coldstream,Census Tract 907,NA,21218,TRUE,FALSE
8775,6401020A5FF1F945,2021/01/03 17:05:00+00,High,SD,OVERDOSE,P210031613,500 JACK ST,500 JACK ST BALTIMORE MD,Brooklyn,Southern,913,10,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,NA,21225,TRUE,FALSE
