Incident,Date,Location,County
2022378960,2022-12-31,VALLEYWOOD RD,Anne Arundel
2022378908,2022-12-31,W NURSERY RD,Anne Arundel
2022378903,2022-12-31,FURNACE BRANCH RD E,Anne Arundel
2022378685,2022-12-31,10TH AVE/HARBOR VALLEY DR,Anne Arundel
2022378684,2022-12-31,BROADVIEW BLVD N,Anne Arundel
2022378490,2022-12-31,MARLEY NECK RD/BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022378463,2022-12-31,Potee St/W Jeffrey St,Anne Arundel
2022378459,2022-12-31,DAVIDSONVILLE RD/GERSTANHAL RD,Anne Arundel
2022378383,2022-12-31,"NATURE WALK LN",Anne Arundel
2022378254,2022-12-30,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022378239,2022-12-30,RITCHIE HWY,Anne Arundel
2022378210,2022-12-30,RITCHIE HWY/WB I695,Anne Arundel
2022378140,2022-12-30,ADMIRAL DR/OLD ADMIRAL CT,Anne Arundel
2022378045,2022-12-30,WEST ST,Anne Arundel
2022378026,2022-12-30,SUMMIT RD,Anne Arundel
2022378016,2022-12-30,DORSEY RD/SHIPLEY AVE,Anne Arundel
2022377950,2022-12-30,JONES STATION RD/BECKETT CT,Anne Arundel
2022377921,2022-12-30,WAUGH CHAPEL RD/NEW MARKET LN,Anne Arundel
2022377894,2022-12-30,NB RT295 ONR EB LAUREL FT MEAD/LAUREL FORT MEADE RD,Anne Arundel
2022377653,2022-12-30,MOUNTAIN RD,Anne Arundel
2022377372,2022-12-30,DAVIDSONVILLE RD,Anne Arundel
2022377251,2022-12-29,MARGATE DR,Anne Arundel
2022377196,2022-12-29,MONTROSE RD,Anne Arundel
2022377164,2022-12-29,SAMANTHA CT,Anne Arundel
2022376993,2022-12-29,CRAIN HWY N,Anne Arundel
2022376927,2022-12-29,PINEY ORCHARD PKWY/ODENTON RD,Anne Arundel
2022376891,2022-12-29,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022376843,2022-12-29,RITCHIE HWY,Anne Arundel
2022376804,2022-12-29,FAYWOOD CT,Anne Arundel
2022376751,2022-12-29,CHURCH CIR,Anne Arundel
2022376732,2022-12-29,WESLEY RD,Anne Arundel
2022376684,2022-12-29,CLARK RD,Anne Arundel
2022376662,2022-12-29,ARUNDEL MILLS CIR,Anne Arundel
2022376518,2022-12-29,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022376361,2022-12-29,RITCHIE HWY,Anne Arundel
2022376317,2022-12-28,"ARUNDEL MILLS CIR, GAR",Anne Arundel
2022376279,2022-12-28,ARUNDEL MILLS CIR,Anne Arundel
2022376272,2022-12-28,ERTTER DR,Anne Arundel
2022376052,2022-12-28,SOLOMONS ISLAND RD,Anne Arundel
2022375982,2022-12-28,SNUG HARBOR RD/CEDAR LN,Anne Arundel
2022375889,2022-12-28,RITCHIE HWY,Anne Arundel
2022375454,2022-12-28,RITCHIE HWY,Anne Arundel
2022375447,2022-12-28,WINBORNE DR,Anne Arundel
2022375424,2022-12-28,WHARF DR,Anne Arundel
2022375377,2022-12-27,220TH ST,Anne Arundel
2022375339,2022-12-27,FORT SMALLWOOD RD,Anne Arundel
2022375253,2022-12-27,HOSPITAL DR/ELVATON RD,Anne Arundel
2022375245,2022-12-27,TALBOT RD,Anne Arundel
2022375054,2022-12-27,DOGWOOD RD,Anne Arundel
2022375015,2022-12-27,WOODLAKE CT,Anne Arundel
2022375009,2022-12-27,ARUNDEL MILLS CIR,Anne Arundel
2022374835,2022-12-27,ENFIELD WAY,Anne Arundel
2022374813,2022-12-27,GEORGE CLAUSS BLVD,Anne Arundel
2022374757,2022-12-27,MEDICAL PKWY,Anne Arundel
2022374742,2022-12-27,LAUREL FORT MEADE RD,Anne Arundel
2022374710,2022-12-27,BOYDS TURN RD/FRIENDSHIP RD,Anne Arundel
2022374592,2022-12-27,E BAY FRONT RD/SOLOMONS ISLAND RD,Anne Arundel
2022374587,2022-12-27,WINDING WOOD RD,Anne Arundel
2022374491,2022-12-27,RITCHIE HWY,Anne Arundel
2022374474,2022-12-27,OLD LINE AVE,Anne Arundel
2022374361,2022-12-26,SOUTH RIVER TER,Anne Arundel
2022374360,2022-12-26,CRAIN HWY S/EVERGREEN RD,Anne Arundel
2022374354,2022-12-26,BRANDERMILL BLVD,Anne Arundel
2022374342,2022-12-26,BALTIMORE ANNAPOLIS BLVD,Anne Arundel
2022374263,2022-12-26,ANNAPOLIS RD/GATEWAY BLVD,Anne Arundel
2022374202,2022-12-26,ANNAPOLIS MALL,Anne Arundel
2022374198,2022-12-26,RITCHIE HWY,Anne Arundel
2022373995,2022-12-26,CHURCH RD/CARROLL RD,Anne Arundel
2022373907,2022-12-26,ELDRIDGE RD,Anne Arundel
2022373883,2022-12-26,PIKE RIDGE RD/SOLOMONS ISLAND RD,Anne Arundel
2022373884,2022-12-26,SOLOMONS ISLAND RD/STEWART DR,Anne Arundel
2022373856,2022-12-26,MAIN ST,Anne Arundel
2022373829,2022-12-26,SB RT295/WB RT100,Anne Arundel
2022373793,2022-12-26,SOUTHBRIDGE DR,Anne Arundel
2022373663,2022-12-26,BON AIR AVE,Anne Arundel
2022373643,2022-12-26,CEDAR RD,Anne Arundel
2022373603,2022-12-26,LEDNURA RD/HAILE AVE,Anne Arundel
2022373452,2022-12-25,OLD MILL RD,Anne Arundel
2022373405,2022-12-25,OAKLEIGH AVE,Anne Arundel
2022373304,2022-12-25,5TH AVE SE,Anne Arundel
2022373275,2022-12-25,CHESTNUT TRL,Anne Arundel
2022373260,2022-12-25,1ST AVE,Anne Arundel
2022373245,2022-12-25,ARUNDEL MILLS CIR,Anne Arundel
2022373214,2022-12-25,MORAINE DR,Anne Arundel
2022373026,2022-12-24,RITCHIE HWY,Anne Arundel
2022372984,2022-12-24,SHREVE CT,Anne Arundel
2022372949,2022-12-24,COMPROMISE ST,Anne Arundel
2022372943,2022-12-24,CRAIN HWY S,Anne Arundel
2022372853,2022-12-24,WB US50 ONR NB I97/NB I97,Anne Arundel
2022372815,2022-12-24,ARUNDEL MILLS BLVD,Anne Arundel
2022372793,2022-12-24,VALIANT CIR,Anne Arundel
2022372786,2022-12-24,RITCHIE HWY,Anne Arundel
2022372780,2022-12-24,ARUNDEL MILLS CIR,Anne Arundel
2022372781,2022-12-24,MARSHALL RD,Anne Arundel
2022372750,2022-12-24,OLD MILL RD,Anne Arundel
2022372686,2022-12-24,WEST DR,Anne Arundel
