incident,date,location,county
P136,2022-02-25,HALFWAY,Washington
P137,2022-02-25,SMITHSBURG,Washington
P138,2022-02-25,HAGERSTOWN,Washington
P139,2022-02-25,HAGERSTOWN,Washington
P140,2022-02-26,HAGERSTOWN,Washington
P141,2022-02-27,HAGERSTOWN,Washington
P142,2022-02-27,FUNKSTOWN,Washington
P143,2022-02-27,SMITHSBURG,Washington
P144,2022-02-27,FUNKSTOWN,Washington
P145,2022-03-01,SHARPSBURG,Washington
P146,2022-03-01,MAUGANSVILLE,Washington
P147,2022-03-02,HAGERSTOWN,Washington
P148,2022-03-02,HAGERSTOWN,Washington
P149,2022-03-02,HALFWAY,Washington
P150,2022-03-03,HALFWAY,Washington
P151,2022-03-03,HAGERSTOWN,Washington
P152,2022-03-03,HAGERSTOWN,Washington
P153,2022-03-03,MAUGANSVILLE,Washington
P154,2022-03-03,HAGERSTOWN,Washington
P155,2022-03-04,HAGERSTOWN,Washington
P156,2022-03-04,HALFWAY,Washington
P157,2022-03-05,HANCOCK,Washington
P158,2022-03-05,HAGERSTOWN,Washington
P159,2022-03-06,HALFWAY,Washington
P160,2022-03-06,HAGERSTOWN,Washington
P161,2022-03-06,HAGERSTOWN,Washington
P162,2022-03-06,HAGERSTOWN,Washington
P163,2022-03-06,HAGERSTOWN,Washington
P164,2022-03-07,HANCOCK,Washington
P165,2022-03-07,HAGERSTOWN,Washington
P166,2022-03-07,HAGERSTOWN,Washington
P167,2022-03-07,HAGERSTOWN,Washington
P168,2022-03-07,HAGERSTOWN,Washington
P169,2022-03-08,MAUGANSVILLE,Washington
P170,2022-03-08,HALFWAY,Washington
P171,2022-03-08,HAGERSTOWN,Washington
P172,2022-03-08,HAGERSTOWN,Washington
P173,2022-03-09,WILLIAMSPORT,Washington
P174,2022-03-09,CLEAR SPRING,Washington
P175,2022-03-09,WILLIAMSPORT,Washington
P176,2022-03-09,HALFWAY,Washington
P177,2022-03-09,HAGERSTOWN,Washington
P178,2022-03-10,HAGERSTOWN,Washington
P179,2022-03-10,WILLIAMSPORT,Washington
P180,2022-03-12,FUNKSTOWN,Washington
P181,2022-03-12,OUT OF COUNTY,Washington
P182,2022-03-12,HAGERSTOWN,Washington
P183,2022-03-12,HAGERSTOWN,Washington
P184,2022-03-12,HAGERSTOWN,Washington
P185,2022-03-13,HAGERSTOWN,Washington
P186,2022-03-14,HANCOCK,Washington
P187,2022-03-14,HAGERSTOWN,Washington
P188,2022-03-15,HAGERSTOWN,Washington
P189,2022-03-16,HAGERSTOWN,Washington
P190,2022-03-16,HAGERSTOWN,Washington
P191,2022-03-16,FUNKSTOWN,Washington
P192,2022-03-16,HAGERSTOWN,Washington
P193,2022-03-17,HAGERSTOWN,Washington
P194,2022-03-17,MAUGANSVILLE,Washington
P195,2022-03-18,HAGERSTOWN,Washington
P196,2022-03-18,HAGERSTOWN,Washington
P197,2022-03-19,HAGERSTOWN,Washington
P198,2022-03-19,HAGERSTOWN,Washington
P199,2022-03-19,HAGERSTOWN,Washington
P200,2022-03-20,HAGERSTOWN,Washington
P201,2022-03-20,HAGERSTOWN,Washington
P202,2022-03-21,HAGERSTOWN,Washington
P203,2022-03-21,HAGERSTOWN,Washington
P204,2022-03-21,WILLIAMSPORT,Washington
P205,2022-03-22,HAGERSTOWN,Washington
P206,2022-03-23,HAGERSTOWN,Washington
P207,2022-03-23,KNOXVILLE,Washington
P208,2022-03-25,FUNKSTOWN,Washington
P209,2022-03-26,HAGERSTOWN,Washington
P210,2022-03-26,HAGERSTOWN,Washington
P211,2022-03-27,FUNKSTOWN,Washington
P212,2022-03-27,FUNKSTOWN,Washington
P213,2022-03-27,HALFWAY,Washington
P214,2022-03-27,HAGERSTOWN,Washington
P215,2022-03-28,HAGERSTOWN,Washington
P216,2022-03-28,HAGERSTOWN,Washington
P217,2022-03-30,HAGERSTOWN,Washington
P218,2022-04-01,HANCOCK,Washington
P219,2022-04-01,OUT OF COUNTY,Washington
P220,2022-04-02,HAGERSTOWN,Washington
P221,2022-04-02,HAGERSTOWN,Washington
P222,2022-04-02,HAGERSTOWN,Washington
P223,2022-04-03,HAGERSTOWN,Washington
P224,2022-04-03,HAGERSTOWN,Washington
P225,2022-04-03,HAGERSTOWN,Washington
P226,2022-04-03,HAGERSTOWN,Washington
P227,2022-04-03,OUT OF COUNTY,Washington
P228,2022-04-04,HAGERSTOWN,Washington
P229,2022-04-04,HAGERSTOWN,Washington
P230,2022-04-04,FUNKSTOWN,Washington
P231,2022-04-05,WILLIAMSPORT,Washington
P232,2022-04-05,HAGERSTOWN,Washington
P233,2022-04-05,FUNKSTOWN,Washington
P234,2022-04-05,HAGERSTOWN,Washington
P235,2022-04-05,HAGERSTOWN,Washington
P236,2022-04-06,HAGERSTOWN,Washington
P237,2022-04-06,MAUGANSVILLE,Washington
P238,2022-04-06,HAGERSTOWN,Washington
P239,2022-04-07,FUNKSTOWN,Washington
P240,2022-04-07,OUT OF COUNTY,Washington
P241,2022-04-07,HAGERSTOWN,Washington
P242,2022-04-08,HAGERSTOWN,Washington
P243,2022-04-10,WILLIAMSPORT,Washington
P244,2022-04-10,HAGERSTOWN,Washington
P245,2022-04-11,HALFWAY,Washington
P246,2022-04-11,HAGERSTOWN,Washington
P247,2022-04-11,OUT OF COUNTY,Washington
P248,2022-04-12,HAGERSTOWN,Washington
P249,2022-04-12,HAGERSTOWN,Washington
P250,2022-04-12,HAGERSTOWN,Washington
P251,2022-04-12,HAGERSTOWN,Washington
P252,2022-04-12,HAGERSTOWN,Washington
P253,2022-04-12,FAIRPLAY,Washington
P254,2022-04-13,HAGERSTOWN,Washington
P255,2022-04-13,HAGERSTOWN,Washington
P256,2022-04-13,HAGERSTOWN,Washington
P257,2022-04-14,LONG MEADOW,Washington
P258,2022-04-14,HAGERSTOWN,Washington
P259,2022-04-15,HAGERSTOWN,Washington
P260,2022-04-15,WILLIAMSPORT,Washington
P261,2022-04-15,HAGERSTOWN,Washington
P262,2022-04-15,HAGERSTOWN,Washington
P263,2022-04-16,HAGERSTOWN,Washington
P264,2022-04-16,HAGERSTOWN,Washington
P265,2022-04-16,FUNKSTOWN,Washington
P266,2022-04-16,MAUGANSVILLE,Washington
P267,2022-04-16,HAGERSTOWN,Washington
P268,2022-04-17,HAGERSTOWN,Washington
P269,2022-04-17,HAGERSTOWN,Washington
P270,2022-04-17,HALFWAY,Washington
P271,2022-04-18,LONG MEADOW,Washington
P272,2022-04-18,HAGERSTOWN,Washington
P273,2022-04-18,HAGERSTOWN,Washington
P274,2022-04-20,HALFWAY,Washington
P275,2022-04-20,HAGERSTOWN,Washington
P276,2022-04-21,HAGERSTOWN,Washington
P277,2022-04-21,HAGERSTOWN,Washington
P278,2022-04-21,HAGERSTOWN,Washington
P279,2022-04-21,FUNKSTOWN,Washington
P280,2022-04-21,FUNKSTOWN,Washington
P281,2022-04-22,WILLIAMSPORT,Washington
P282,2022-04-24,CLEAR SPRING,Washington
P283,2022-04-25,HALFWAY,Washington
P284,2022-04-26,HAGERSTOWN,Washington
P285,2022-04-26,HAGERSTOWN,Washington
P286,2022-04-26,HAGERSTOWN,Washington
P287,2022-04-26,HAGERSTOWN,Washington
P288,2022-04-26,HAGERSTOWN,Washington
P289,2022-04-26,HAGERSTOWN,Washington
P290,2022-04-26,HAGERSTOWN,Washington
P291,2022-04-26,LONG MEADOW,Washington
P292,2022-04-27,HANCOCK,Washington
P293,2022-04-28,MAUGANSVILLE,Washington
P294,2022-04-28,HAGERSTOWN,Washington
P295,2022-04-29,HAGERSTOWN,Washington
P296,2022-04-29,HAGERSTOWN,Washington
P297,2022-04-29,HAGERSTOWN,Washington
P298,2022-04-29,HAGERSTOWN,Washington
P299,2022-04-29,FAIRPLAY,Washington
P300,2022-04-29,SMITHSBURG,Washington
P301,2022-04-30,HAGERSTOWN,Washington
P302,2022-04-30,HAGERSTOWN,Washington
P303,2022-05-01,FUNKSTOWN,Washington
P304,2022-05-01,HAGERSTOWN,Washington
P305,2022-05-01,HALFWAY,Washington
P306,2022-05-01,HAGERSTOWN,Washington
P307,2022-05-02,HAGERSTOWN,Washington
P308,2022-05-02,HAGERSTOWN,Washington
P309,2022-05-02,FAIRPLAY,Washington
P310,2022-05-03,HAGERSTOWN,Washington
P311,2022-05-03,HAGERSTOWN,Washington
P312,2022-05-04,HAGERSTOWN,Washington
P313,2022-05-04,HAGERSTOWN,Washington
P314,2022-05-05,HAGERSTOWN,Washington
P315,2022-05-05,FAIRPLAY,Washington
P316,2022-05-05,HAGERSTOWN,Washington
P317,2022-05-05,HAGERSTOWN,Washington
P318,2022-05-06,WILLIAMSPORT,Washington
P319,2022-05-06,WILLIAMSPORT,Washington
P320,2022-05-06,HAGERSTOWN,Washington
P321,2022-05-06,HAGERSTOWN,Washington
P322,2022-05-06,SMITHSBURG,Washington
P323,2022-05-06,HAGERSTOWN,Washington
P324,2022-05-06,HAGERSTOWN,Washington
P325,2022-05-07,OUT OF COUNTY,Washington
P326,2022-05-07,OUT OF COUNTY,Washington
P327,2022-05-07,HAGERSTOWN,Washington
P328,2022-05-07,HALFWAY,Washington
P329,2022-05-08,CLEAR SPRING,Washington
P330,2022-05-09,HAGERSTOWN,Washington
P331,2022-05-09,HAGERSTOWN,Washington
P332,2022-05-10,HAGERSTOWN,Washington
P333,2022-05-11,HAGERSTOWN,Washington
P334,2022-05-11,HAGERSTOWN,Washington
P335,2022-05-11,HAGERSTOWN,Washington
P336,2022-05-11,HAGERSTOWN,Washington
P337,2022-05-12,HAGERSTOWN,Washington
P338,2022-05-13,HAGERSTOWN,Washington
P339,2022-05-13,HAGERSTOWN,Washington
P340,2022-05-13,HANCOCK,Washington
P341,2022-05-13,HAGERSTOWN,Washington
P342,2022-05-14,HAGERSTOWN,Washington
P343,2022-05-14,HAGERSTOWN,Washington
P344,2022-05-14,FUNKSTOWN,Washington
P345,2022-05-14,HAGERSTOWN,Washington
P346,2022-05-14,HAGERSTOWN,Washington
P347,2022-05-14,MAUGANSVILLE,Washington
P348,2022-05-15,OUT OF COUNTY,Washington
P349,2022-05-15,HAGERSTOWN,Washington
P350,2022-05-15,HALFWAY,Washington
P351,2022-05-16,HAGERSTOWN,Washington
P352,2022-05-16,HAGERSTOWN,Washington
P353,2022-05-17,HAGERSTOWN,Washington
P354,2022-05-17,HAGERSTOWN,Washington
P355,2022-05-17,HAGERSTOWN,Washington
P356,2022-05-17,WILLIAMSPORT,Washington
P357,2022-05-17,HAGERSTOWN,Washington
P358,2022-05-19,HALFWAY,Washington
P359,2022-05-19,HAGERSTOWN,Washington
P360,2022-05-19,HAGERSTOWN,Washington
P361,2022-05-19,HAGERSTOWN,Washington
