date,location,county
2022-04-02,14804 BROADWAY ST SW,Allegany
2022-04-02,17005 E WILSON RD SE,Allegany
2022-04-02,506 N CENTRE ST,Allegany
2022-04-03,NOLAN APARTMENTS @19207 LEGISLATIVE RD SW,Allegany
2022-04-03,MEZZOS BAR AND GRILL @114 S CENTRE ST,Allegany
2022-04-03,JFK APARTMENTS @135 N MECHANIC ST,Allegany
2022-04-07,4 ALTAMONT TER,Allegany
2022-04-08,JANE FRAZIER VILLAGE BLDG 10 @645 E FIRST ST,Allegany
2022-04-09,CVS PHARMACY @1202 NATIONAL HWY,Allegany
2022-04-09,434 GRAND AVE,Allegany
2022-04-11,11301 VALLEY RD NE,Allegany
2022-04-12,412 MARYLAND AVE,Allegany
2022-04-13,UPMC WESTERN MARYLAND @12500 WILLOWBROOK RD SE,Allegany
2022-04-13,ROSES DEPARTMENT STORE @50 QUEEN CITY DR,Allegany
2022-04-14,MESSICK RD SE / WILLIAMS RD SE,Allegany
2022-04-14,LONG JOHN SILVERS @1295 NATIONAL HWY,Allegany
2022-04-14,SHEETZ @214 GREENE ST,Allegany
2022-04-17,216 NEW HAMPSHIRE AVE,Allegany
2022-04-19,10720 OLD MOUNT SAVAGE RD NW,Allegany
2022-04-20,GEORGE WASHINGTON HEADQUARTERS @0 BRIDGE ST,Allegany
2022-04-22,23 N LEE ST,Allegany
2022-04-22,114 GREENE ST,Allegany
2022-04-23,55 HIGH ST,Allegany
2022-04-24,BB&T BANK @71 BALTIMORE ST,Allegany
2022-04-24,MCDONALDS @1242 NATIONAL HWY,Allegany
2022-04-25,NBCI @14100 MCMULLEN HWY SW,Allegany
2022-04-25,14409 ELLERSLIE RD NW @MR T'S MINI MART,Allegany
2022-04-25,WCI @13800 MCMULLEN HWY SW,Allegany
2022-04-25,515 DUNBAR DR,Allegany
2022-04-26,51 OAK ST,Allegany
2022-04-26,16800 BROADWATER RD NW,Allegany
2022-04-28,FREDERICK ST/ N CENTRE ST,Allegany
2022-04-28,SHEETZ @214 GREENE ST,Allegany
2022-04-30,528 N CENTRE ST,Allegany
2022-05-02,12502 WILLOW BROOK RD SE,Allegany
2022-05-03,NBCI @14100 MCMULLEN HWY SW,Allegany
2022-05-03,15811 LOWER GEORGES CREEK RD SW,Allegany
2022-05-05,1301 NATIONAL HWY @SUPER 8,Allegany
2022-05-05,10 ASBURY AVE,Allegany
2022-05-05,19207 LEGISLATIVE RD SW,Allegany
2022-05-06,213 PENNSYLVANIA AVE,Allegany
2022-05-07,OUTBACK LOUNGE @147 E MAIN ST,Allegany
2022-05-08,23 ARCH ST,Allegany
2022-05-08,MARTINS FOOD MARKET @739 PARK ST,Allegany
2022-05-08,SAVE-A-LOT MARKET @66 QUEEN CITY DR,Allegany
2022-05-09,135 N MECHANIC ST,Allegany
2022-05-10,903 BRADDOCK RD,Allegany
2022-05-13,14600 CRESAP MILL RD SE,Allegany
2022-05-13,1714 PALO ALTO RD,Allegany
2022-05-14,23 VIRGINIA AVE,Allegany
2022-05-14,529 N CENTRE ST,Allegany
2022-05-14,NATIONAL HWY / MILLER ST,Allegany
2022-05-15,39 E MARY ST,Allegany
2022-05-15,39 E MARY ST,Allegany
2022-05-16,GARDEN CITY TRAILER PARK @14101 WINCHESTER RD SW,Allegany
2022-05-16,312 WAVERLY TER,Allegany
2022-05-18,202 BISHOP MURPHY DR,Allegany
2022-05-18,51 JONES ST,Allegany
2022-05-18,301 BRADDOCK RD @APPALACHIAN LAB,Allegany
2022-05-18,19 BUCHANAN AVE,Allegany
2022-05-20,313 SPRINGDALE ST @CREATION LAUNDRY,Allegany
2022-05-20,80 MESHACH FROST VLG,Allegany
2022-05-20,TIPS & TOES TOO @12505 MCMULLEN HWY SW,Allegany
2022-05-21,14300 WINCHESTER RD SW,Allegany
2022-05-23,201 MAPLE PL,Allegany
2022-05-23,28 W INDUSTRIAL BLVD,Allegany
2022-05-25,988 FINZEL RD,Allegany
2022-05-25,19204 LEGISLATIVE RD SW,Allegany
2022-05-25,80 MAIN ST,Allegany
2022-05-26,227 HUM BIRD ST,Allegany
2022-05-26,80 LAVALE CT,Allegany
2022-05-27,24 E MAIN ST,Allegany
2022-05-27,AARONS RENTAL @1623 E OLDTOWN RD,Allegany
2022-05-28,229 BALTIMORE AVE @CUMBERLAND MANOR APTS,Allegany
2022-05-29,12 N ALLEGANY ST,Allegany
2022-05-29,45 LYONS ST,Allegany
2022-05-29,CIRCLE K STORE @15617 MCMULLEN HWY SW,Allegany
2022-05-31,17702 OLD BRADDOCK TRL SE,Allegany
2022-05-31,24 E MAIN ST,Allegany
2022-06-03,11301 SUPERFOS DR SE @BERRY PLASTICS,Allegany
2022-06-04,11301 BIERMAN DR SE,Allegany
2022-06-05,19 W FIRST ST,Allegany
2022-06-05,SHEETZ @419 VIRGINIA AVE,Allegany
2022-06-05,13014 SECOND AVE SW,Allegany
2022-06-08,15811 LOWER GEORGES CREEK RD SW,Allegany
2022-06-09,8 MARION ST,Allegany
2022-06-09,PARK & RIDE - RT 220 @0 MCMULLEN HWY SW,Allegany
2022-06-10,18 PENNSYLVANIA AVE,Allegany
2022-06-10,303 GREENEST,Allegany
2022-06-10,11822 MULBERRY AVE SW,Allegany
2022-06-11,E THIRD ST / ARCH ST,Allegany
2022-06-12,1032 HARDING AVE,Allegany
2022-06-14,205 MCKINLEY ST,Allegany
2022-06-17,31812 OLD ADAMS RD NE,Allegany
2022-06-17,1520 E OLDTOWN RD,Allegany
2022-06-18,216 PIEDMONT AVE,Allegany
2022-06-20,10102 PARKERSBURG RD NW,Allegany
2022-06-22,MCDONALDS @32 QUEEN CITY DR,Allegany
2022-06-22,WCI @13800 MCMULLEN HWY SW,Allegany
2022-06-24,MARTINS FOOD MARKET @739 PARK ST,Allegany
2022-06-27,14810 MCMULLEN HWY SW,Allegany
2022-06-28,FREDERICK ST / FORSTER AVE,Allegany
2022-06-28,PARK ST / S CENTRAL AVE,Allegany
2022-06-29,14710 OLD HANCOCK RD NE,Allegany
2022-06-30,209 PRATT ST @US POST OFFICE,Allegany
2022-06-30,542 N MECHANIC ST,Allegany
2022-07-05,51 OAK ST,Allegany
2022-07-05,MIDLAND FIRE STATION @20001 UNION ST SW,Allegany
2022-07-05,2300 SHADES LN,Allegany
2022-07-06,7 S WAVERLY TER,Allegany
2022-07-09,SHEETZ @11601 WINCHESTER RD SW,Allegany
2022-07-09,505 BEALL ST,Allegany
2022-07-10,12300 FANSLER RD NE,Allegany
2022-07-10,ALLEGANY COUNTY LIBRARY @100 SEYMOUR ST,Allegany
2022-07-14,62 W MAIN ST,Allegany
2022-07-14,336 POCAHONTAS RD,Allegany
2022-07-16,15912 SAINT MARYS CHURCH TER SW,Allegany
2022-07-16,13014 SECOND AVE SW,Allegany
2022-07-16,MOTEL 6 @12310 WINCHESTER RD SW,Allegany
2022-07-16,24205 WILLOW CREST RD SW,Allegany
2022-07-16,13 BOONE ST,Allegany
2022-07-16,3 MESHACH FROST VLG,Allegany
2022-07-17,418 GRAND AVE,Allegany
2022-07-17,2076 PIEDMONT RD,Allegany
2022-07-18,351 BYRD AVE,Allegany
2022-07-19,445 BALTIMORE AVE,Allegany
2022-07-19,421 NATIONAL HWY @LAVALE FIRE STATION 1,Allegany
2022-07-20,CIRCLE K STORE @15617 MCMULLEN HWY SW,Allegany
2022-07-20,760 NATIONAL HWY,Allegany
2022-07-21,12521 EVITTS CREEK DR SE,Allegany
2022-07-21,925 GRAND AVE,Allegany
2022-07-21,414 HUDSON AVE @ALLEGANY COUNTY 911,Allegany
2022-07-22,17007 OLD NATIONAL PIKE SW,Allegany
2022-07-22,308 ARCH ST,Allegany
2022-07-23,420 RACE ST,Allegany
2022-07-23,THOMPSON AVE / GREENE ST,Allegany
2022-07-24,1 DECATUR ST,Allegany
2022-07-24,12 W SECOND ST,Allegany
2022-07-24,19410 OLD DANS ROCK RD SW,Allegany
2022-07-24,WC @13800 MCMULLEN HWY SW,Allegany
2022-07-25,42 THIRD ST,Allegany
2022-07-25,GARDEN CITY TRAILER PARK @14101 WINCHESTER RD SW,Allegany
2022-07-27,48 JACKSON ST,Allegany
2022-07-28,WEIS MARKET @15300 MCMULLEN HWY SW,Allegany
2022-07-28,19410 OLD DANS ROCK RD SW,Allegany
2022-07-28,HOLIDAY INN EXPRESS @1076 NATIONAL HWY,Allegany
2022-07-29,127 WOOD ST,Allegany
2022-07-29,DOLLAR GENERAL @1050 W INDUSTRIAL BLVD,Allegany
2022-07-29,19410 OLD DANS ROCK RD SW,Allegany
2022-07-30,13800 MCMULLEN HWY SW @WCI,Allegany
2022-07-30,1538 E OLDTOWN RD @OLDTOWNE MANOR APARTMENTS,Allegany
2022-08-01,NEW GEORGES CREEK RD SW / VALE SUMMIT RD SW,Allegany
2022-08-02,220 GREENE ST,Allegany
2022-08-02,E ROBERTS ST/ CANDOC LN,Allegany
2022-08-02,112 W MAIN ST,Allegany
2022-08-03,11 N LEE ST,Allegany
2022-08-03,112 W MAIN ST,Allegany
2022-08-03,112 W MAIN ST,Allegany
2022-08-04,107 PENNSYLVANIA AVE,Allegany
2022-08-05,220 SOMERVILLE AVE @MOUNTAIN VIEW APARTMENTS,Allegany
2022-08-05,55 HIGH ST,Allegany
2022-08-09,20 BEDFORD ST @CUMBERLAND POLICE DEPT,Allegany
2022-08-10,POLK ST / N CENTRE ST,Allegany
2022-08-10,16125 MCMULLEN HWY SW @D&D TRAILER PARK,Allegany
2022-08-11,SHEETZ @419 VIRGINIA AVE,Allegany
2022-08-12,100 KOLBERGS DR,Allegany
2022-08-12,RENT-A-CENTER @32 QUEEN CITY DR,Allegany
2022-08-13,14100 MCMULLEN HWY SW @NORTH BRANCH CORRECTIONAL INST,Allegany
2022-08-13,1200 E OLDTOWN RD,Allegany
2022-08-15,701 FURNACE ST @WILLOW VALLEY APARTMENTS,Allegany
2022-08-15,232 COLUMBIA ST,Allegany
2022-08-15,13112 BOWLING ST SW,Allegany
2022-08-16,4 BOONE ST,Allegany
2022-08-16,WESTERN MARYLAND SCENIC RAILRO @13 CANAL ST,Allegany
2022-08-16,540 ROSE HILL AVE,Allegany
2022-08-16,SHEETZ @419 VIRGINIA AVE,Allegany
2022-08-17,313 CECELIA ST,Allegany
2022-08-17,102 E SECOND ST,Allegany
2022-08-17,48 MCCULLOH ST,Allegany
2022-08-18,168 MM 34 WB @0 INTERSTATE 68,Allegany
2022-08-18,12 W SECOND ST,Allegany
2022-08-18,35 WATER ST,Allegany
2022-08-19,BLUE BRIDGE @0 BRIDGE ST,Allegany
2022-08-19,21604 MCCOOLE DR SW,Allegany
2022-08-20,LITTLE BROWN LAKE RD / AVILTON LONACONING RD,Allegany
2022-08-21,28 W INDUSTRIAL BLVD,Allegany
2022-08-21,STOYER ST / MAPLE ST,Allegany
2022-08-22,20 KLOSTERMAN AVE,Allegany
2022-08-24,450 WALNUT ST,Allegany
2022-08-25,970 NATIONAL HWY,Allegany
2022-08-26,5 GILLS HL,Allegany
2022-08-26,14813 BROADWAY AVE SW,Allegany
2022-08-26,SUPER 8 @1301 NATIONAL HWY,Allegany
2022-08-27,96 DOUGLAS AVE,Allegany
2022-08-27,73 MESHACH FROST VLG,Allegany
2022-08-29,JCPENNEY @1262 VOCKE RD,Allegany
2022-08-30,202 SPRINGDALE ST,Allegany
2022-08-31,13800 MCMULLEN HWY SW @WESTERN CORRECTIONAL INSTITUTI,Allegany
2022-08-31,VALLEY RD NE / GREISE FARM RD NE,Allegany
2022-08-31,10 TAYLOR ST,Allegany
2022-08-31,WESTERNPORT LIBRARY @66 MAIN ST,Allegany
2022-09-01,739 PARK ST @MARTINS FOOD MARKET,Allegany
2022-09-02,25 GRANDAVE,Allegany
2022-09-04,714 ELM ST,Allegany
2022-09-04,1536 E OLDTOWN RD @OLDTOWNE MANOR APARTMENTS,Allegany
2022-09-04,CRABBY PIG PIZZA & CHICKEN @20 HOWARD ST,Allegany
2022-09-04,10 TAYLOR ST,Allegany
2022-09-05,16 PENNSYLVANIA AVE,Allegany
2022-09-06,FCRC @146 BEDFORD ST,Allegany
2022-09-06,220 SOMERVILLE AVE @MOUNTAIN VIEW APARTMENTS,Allegany
2022-09-06,GEORGE WASHINGTON HEADQUARTERS @0 BRIDGE ST,Allegany
2022-09-06,WESTMINSTER HALL FSU @16 SANDSPRING DR,Allegany
2022-09-07,714 ELM ST,Allegany
2022-09-08,715 MARYLAND AVE,Allegany
2022-09-08,409 ASCENSION ST,Allegany
2022-09-09,STORE 7-11 STORE #204 @400 MARYLAND AVE,Allegany
2022-09-09,BALTIMORE ST/ N GEORGE ST,Allegany
2022-09-09,MASON SPORTS COMPLEX @0 E OFFUTT ST,Allegany
2022-09-12,21419 QUEENS POINT RD SW,Allegany
2022-09-12,438 GOETHE ST,Allegany
2022-09-14,GEORGE WASHINGTON HEADQUARTERS @0 BRIDGE ST,Allegany
2022-09-14,41 BOONE ST,Allegany
2022-09-16,SHEETZ @419 VIRGINIA AVE,Allegany
2022-09-16,14226 ELTON DR SW,Allegany
2022-09-16,14226 ELTON DR SW,Allegany
2022-09-17,24 PATAPSCO ST,Allegany
2022-09-17,260 MARTIN RD,Allegany
2022-09-18,15701 OLDTOWN RD SE,Allegany
2022-09-18,21418 CREEK SIDE DR SW,Allegany
2022-09-18,215 E OLDTOWN RD,Allegany
2022-09-19,15415 MOUNT SAVAGE RD NW,Allegany
2022-09-19,UPMC WESTERN MARYLAND @12500 WILLOWBROOK RD SE,Allegany
2022-09-19,422 GRAND AVE,Allegany
2022-09-19,216 S CENTRAL AVE,Allegany
2022-09-19,11309 ORE ST NE,Allegany
2022-09-19,120 JACKSON ST,Allegany
2022-09-20,51 BROADWAY,Allegany
2022-09-21,80 W MECHANIC ST,Allegany
2022-09-23,18106 OLDTOWN RD SE,Allegany
2022-09-23,20 BEDFORD ST @CUMBERLAND POLICE DEPT,Allegany
2022-09-23,CROSSROADS SPORTSMAN CLUB @12516 NAVES CROSS RD NE,Allegany
2022-09-23,714 ELM ST,Allegany
2022-09-25,14800 BACK ST SW,Allegany
2022-09-26,WALMART SUPERCENTER @12500 COUNTRY CLUB MALL RD SW,Allegany
2022-09-26,2 HILL TOP DR,Allegany
2022-09-27,19410 OLD DANS ROCK RD SW,Allegany
2022-09-28,FORT HILL HIGH SCHOOL @500 GREENWAY AVE,Allegany
2022-09-28,1078 NATIONAL HWY,Allegany
2022-09-29,19203 GERMAN ST SW,Allegany
2022-09-30,10317 BORDEN RD NW,Allegany
2022-10-03,ALLEGANY COUNTY DETENTION CENT @14300 MCMULLEN HWY SW,Allegany
2022-10-03,919 LEXINGTON AVE,Allegany
2022-10-04,168 MM 33 EB @O INTERSTATE 68,Allegany
2022-10-04,168 MM 33 EB @O INTERSTATE 68,Allegany
2022-10-04,12838 DARROWS AVE SW,Allegany
2022-10-06,MOTEL 6 @12310 WINCHESTER RD SW,Allegany
2022-10-07,107 HIGH LN,Allegany
2022-10-07,11400 FEATHERBED LN NW,Allegany
2022-10-07,EDGEWOOD COMMONS FSU @135 UNIVERSITY DR,Allegany
2022-10-08,DOLLAR GENERAL @180 CHURCH ST,Allegany
2022-10-09,RAMADA INN @100 S GEORGE ST,Allegany
2022-10-09,15704 MILE LN NW,Allegany
2022-10-10,17904 OLDTOWN RD SE,Allegany
2022-10-11,GREENEST/ S CHASE ST,Allegany
2022-10-12,238 COLUMBIA ST,Allegany
2022-10-12,30 OAK ST,Allegany
2022-10-13,JACKSON ST / E RAILROAD ST,Allegany
2022-10-13,10 TAYLOR ST,Allegany
2022-10-14,626 COLUMBIA AVE,Allegany
2022-10-14,626 COLUMBIA AVE,Allegany
2022-10-14,626 COLUMBIA AVE,Allegany
2022-10-15,314 COLUMBIA ST,Allegany
2022-10-15,WCI @13800 MCMULLEN HWY SW,Allegany
2022-10-17,13618 BARRELV1LLE RD NW,Allegany
2022-10-19,707 BAKER ST,Allegany
2022-10-19,945 MARYLAND AVE,Allegany
2022-10-19,235 PACA ST,Allegany
2022-10-20,313 GREENEST,Allegany
2022-10-20,MCDONALDS @32 QUEEN CITY DR,Allegany
2022-10-20,1415 RIVER AVE,Allegany
2022-10-20,1415 RIVER AVE,Allegany
2022-10-21,500 N CENTRE ST @G1ANNIS PIZZA,Allegany
2022-10-21,218 CHARLES ST,Allegany
2022-10-22,99 NATIONAL HWY,Allegany
2022-10-23,614 COLUMBIA AVE,Allegany
2022-10-24,100 5 GEORGE ST @RAMADA INN,Allegany
2022-10-26,19 W FIRST ST,Allegany
2022-10-27,SUDS LAUNDROMAT @209 E UNION ST,Allegany
2022-10-28,900 SETON DR @ALLEGANY HIGH SCHOOL,Allegany
2022-10-28,SLEEP INN @13320 ALI GHAN RD NE,Allegany
2022-10-28,16125 MCMULLEN HWY SW,Allegany
2022-10-30,109 MAPLE ST,Allegany
2022-10-31,99 NATIONAL HWY,Allegany
2022-10-31,20 BOWERY ST,Allegany
2022-11-02,10505 BORDEN RD NW,Allegany
2022-11-04,518 MARSHALL ST,Allegany
2022-11-05,107 HIGH LN,Allegany
2022-11-07,10 TAYLOR ST,Allegany
2022-11-14,54 MCCULLOH ST,Allegany
2022-11-17,16706 NATIONAL HWY NW,Allegany
2022-11-18,415 SOUTH ST,Allegany
2022-11-19,12838 DARROWS AVE SW,Allegany
2022-11-20,MARTINS FOOD MARKET @739 PARK ST,Allegany
2022-11-21,17216 BEECHERS AVE SW,Allegany
2022-11-23,404 CHESTNUT ST,Allegany
2022-11-24,13808 MYERS AVE SE,Allegany
2022-11-25,12006 CLINTON ST NE,Allegany
2022-11-26,15814 BLOOMING FIELDS DR SW,Allegany
2022-11-26,59 E MAIN ST @FROSTBURG CITY HALL,Allegany
2022-11-27,MARYLAND HWY / HIGHCREST DR,Allegany
2022-11-29,GULF WAR MEMORIAL @0 GULF WAR MEMORIAL DR,Allegany
2022-12-01,CRESAPTOWN FIRE HALL @13115 WARRIOR DR SW,Allegany
2022-12-02,511 BEDFORD ST,Allegany
2022-12-03,15812 BRICE HOLLOW RD SE,Allegany
2022-12-03,13000 WINCHESTER RD SW @MAGNOLIA GREENE,Allegany
2022-12-07,221 BALTIMORE ST,Allegany
2022-12-07,412 FOOTER PL,Allegany
2022-12-09,456 PENNSYLVANIA AVE,Allegany
2022-12-11,538 MARYLAND AVE,Allegany
2022-12-11,538 MARYLAND AVE,Allegany
2022-12-13,112 W MAIN ST,Allegany
2022-12-16,24 VOCKE DR,Allegany
2022-12-17,10601 NEW GEORGES CREEK RD SW @GRIZZLYS HARDCORE GYM,Allegany
2022-12-19,303 E HARRISON ST,Allegany
2022-12-21,166 MAPLE ST,Allegany
2022-12-21,10115 COUNTRYVIEW LN NE,Allegany
2022-12-22,1520 E OLDTOWN RD @OLDTOWNE MANOR APARTMENTS,Allegany
2022-12-24,15914 SAINT MARYS CHURCH TER SW,Allegany
2022-12-25,214 S CENTRAL AVE,Allegany
2022-12-27,315 AVIRETT AVE,Allegany
2022-12-28,1021 BEALL SCHOOL RD,Allegany
2022-12-29,ATLANTIC BROADBAND @201 S MECHANIC ST,Allegany
2022-12-29,12833 MEADOW AVE SW,Allegany
2022-12-30,21100 WATER STATION RUN RD SW,Allegany
2022-12-30,127 WOOD ST,Allegany
