date,location,county
2022-01-02,51 JONES ST,Allegany
2022-01-03,SHEETZ @10601 NEW GEORGES CREEK RD SW,Allegany
2022-01-05,BEALL ELEMENTARY SCHOOL @3 COLLEGE AVE,Allegany
2022-01-05,BEALL ELEMENTARY SCHOOL @3 COLLEGE AVE,Allegany
2022-01-07,209 POPLAR ST,Allegany
2022-01-07,216 SHAW ST,Allegany
2022-01-10,317 RACE ST,Allegany
2022-01-12,SHEETZ @214 GREENE ST,Allegany
2022-01-12,209 SPRING ST,Allegany
2022-01-13,QUEEN CITY TOWERS @235 PACA ST,Allegany
2022-01-13,216 SHAW ST,Allegany
2022-01-15,545 BST,Allegany
2022-01-17,1522 E OLDTOWN RD @OLDTOWNE MANOR APARTMENTS,Allegany
2022-01-17,14601 BURBRIDGE RD SE @FCI,Allegany
2022-01-21,85 MESHACH FROST VLG,Allegany
2022-01-25,QUEEN CITY TOWERS @235 PACA ST,Allegany
2022-01-28,309 VINE ST,Allegany
2022-01-28,13321 UHL HWY SE,Allegany
2022-02-01,405 MARYLAND AVE,Allegany
2022-02-06,BEL AIR LASER CARWASH @16100 MCMULLEN HWY SW,Allegany
2022-02-09,DEVLIN MANOR NURSING HOME @10301 CHRISTIE RD NE,Allegany
2022-02-09,WESTERN MARYLAND SCENIC RAILRO @13 CANAL ST,Allegany
2022-02-11,113 W SECOND ST,Allegany
2022-02-11,113 W SECOND ST,Allegany
2022-02-12,KFC -SOUTH CUMBERLAND @506 SPRINGDALE ST,Allegany
2022-02-13,456 N CENTRE ST,Allegany
2022-02-13,MARYLAND AVE / WILLIAMS ST,Allegany
2022-02-14,524 MARYLAND AVE,Allegany
2022-02-14,MOUNT SAVAGE SCHOOL @13201 NEW SCHOOL RD NW,Allegany
2022-02-15,96 JACKSON ST,Allegany
2022-02-16,61 E MAIN ST,Allegany
2022-02-16,QUEEN CITY TOWERS @235 PACA ST,Allegany
2022-02-16,38 PENNSYLVANIA AVE,Allegany
2022-02-17,50 OAK ST,Allegany
2022-02-17,933 GLENWOOD ST,Allegany
2022-02-17,QUEEN CITY TOWERS @235 PACA ST,Allegany
2022-02-18,216 SHAW ST,Allegany
2022-02-20,55 HIGH ST,Allegany
2022-02-21,9 N CHASE ST -,Allegany
2022-02-21,19410 OLD DANS ROCK RD SW,Allegany
2022-02-22,14409 ELLERSLIE RD NW @MR T'S MINI MART,Allegany
2022-02-23,17 KELSO DR,Allegany
2022-02-23,14201 WINCHESTER RD SW,Allegany
2022-02-24,16813 PORTER RD NW,Allegany
2022-02-24,1100 SIMPSON AVE,Allegany
2022-02-25,114 GREENE ST,Allegany
2022-02-26,417 POPLAR ST,Allegany
2022-02-27,19904 WOODLAND RD SW,Allegany
2022-02-27,317 GRAND AVE,Allegany
2022-02-28,20 BEDFORD ST @CUMBERLAND POLICE DEPT,Allegany
2022-02-28,322 GREENE ST,Allegany
2022-03-01,JANE FRAZIER VILLAGE BLDG 10 @645 E FIRST ST,Allegany
2022-03-01,11109 SUGAR ROW RD NW,Allegany
2022-03-02,KLOTS MILL LOFTS @917 GAY ST,Allegany
2022-03-02,QUEEN CITY MOTORS @99 HENDERSON AVE,Allegany
2022-03-02,MOTEL 6 @12310 WINCHESTER RD SW,Allegany
2022-03-02,MOTEL 6 @12310 WINCHESTER RD SW,Allegany
2022-03-03,16813 PORTER RD NW,Allegany
2022-03-06,267 NATIONAL HWY,Allegany
2022-03-07,FCI @14601 BURBRIDGE RD SE,Allegany
2022-03-08,714 ELM ST,Allegany
2022-03-08,317 COLUMBIA ST,Allegany
2022-03-10,841 NATIONAL HWY,Allegany
2022-03-11,MARYLAND MOTEL @11901 BEDFORD RD NE,Allegany
2022-03-14,19701 WOODLAND RD SW,Allegany
2022-03-15,21705 NATIONAL PIKE NE,Allegany
2022-03-16,903 BRADDOCK RD,Allegany
2022-03-16,GEORGE WASHINGTON HEADQUARTERS @0 BRIDGE ST,Allegany
2022-03-17,260 MAIN ST,Allegany
2022-03-19,WEIS MARKET @17600 NATIONAL HWY SW,Allegany
2022-03-21,CHARLIES MOTEL @220 W MAIN ST,Allegany
2022-03-21,830 SHRIVER AVE,Allegany
2022-03-21,209 SPRING ST,Allegany
2022-03-23,13340 W WILSON RD NE,Allegany
2022-03-23,125 PENNSYLVANIA AVE,Allegany
2022-03-25,12902 N CRESAP ST SW,Allegany
2022-03-26,209 SPRING ST,Allegany
2022-03-28,MAGNOLIA GREENE @13000 WINCHESTER RD SW,Allegany
2022-03-29,WCI @13800 MCMULLEN HWY SW,Allegany
2022-03-30,NBC! @14100 MCMULLEN HWY SW,Allegany
2022-03-30,13800 MCMULLEN HWY SW @WCI,Allegany
2022-04-01,182 CHURCH ST @MCDONALDS,Allegany
2022-04-01,12 W SECOND ST,Allegany
